,usuarios,estaciones,cambios,carga_restante,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
70,2070,50,582.1311475409836,14.455771999959122,5.540983606557377,6.39344262295082,6.524590163934426,5.114754098360656,7.016393442622951,25.278688524590162,54.52459016393443,43.14754098360656,37.50819672131148,19.24590163934426,10.098360655737705,6.688524590163935,6.032786885245901,20.131147540983605,32.65573770491803,53.83606557377049,68.85245901639344,53.31147540983606,32.885245901639344,29.24590163934426,11.868852459016393,16.721311475409838,14.327868852459016,15.180327868852459
71,1270,50,380.26229508196724,14.343823476021097,4.229508196721311,5.049180327868853,3.8688524590163933,3.7049180327868854,3.9672131147540983,14.754098360655737,37.967213114754095,27.18032786885246,24.81967213114754,13.245901639344263,5.672131147540983,2.1639344262295084,3.5737704918032787,10.163934426229508,19.737704918032787,39.967213114754095,43.60655737704918,36.98360655737705,26.491803278688526,17.639344262295083,7.704918032786885,9.081967213114755,9.442622950819672,9.245901639344263
72,610,50,193.04918032786884,13.689147384619547,1.5737704918032787,0.7868852459016393,2.459016393442623,2.0327868852459017,2.360655737704918,8.0,20.0327868852459,16.721311475409838,13.901639344262295,5.967213114754099,1.7377049180327868,1.4098360655737705,1.2131147540983607,6.0,7.508196721311475,21.278688524590162,25.672131147540984,16.688524590163933,12.0,8.491803278688524,2.459016393442623,4.360655737704918,5.508196721311475,4.885245901639344
73,1010,50,307.27868852459017,14.139219991922873,3.8688524590163933,3.9672131147540983,3.0491803278688523,2.459016393442623,3.540983606557377,12.032786885245901,28.885245901639344,21.80327868852459,19.475409836065573,11.475409836065573,3.5737704918032787,1.7049180327868851,2.8524590163934427,8.19672131147541,14.754098360655737,35.67213114754098,37.50819672131148,27.770491803278688,22.62295081967213,12.754098360655737,5.639344262295082,8.131147540983607,7.737704918032787,7.80327868852459
74,710,50,221.11475409836066,13.802515064314282,1.5737704918032787,1.4426229508196722,2.5901639344262297,2.0327868852459017,2.8852459016393444,8.360655737704919,22.65573770491803,18.62295081967213,15.573770491803279,7.442622950819672,2.459016393442623,1.4754098360655739,1.2459016393442623,6.163934426229508,8.721311475409836,25.442622950819672,28.75409836065574,19.475409836065573,14.688524590163935,9.770491803278688,3.1147540983606556,5.967213114754099,5.60655737704918,5.049180327868853
75,1210,50,364.0,14.520788171203781,3.8688524590163933,5.049180327868853,3.8688524590163933,3.0491803278688523,3.737704918032787,13.704918032786885,36.721311475409834,25.442622950819672,24.81967213114754,13.081967213114755,4.721311475409836,1.8360655737704918,3.442622950819672,9.540983606557377,17.147540983606557,39.57377049180328,42.78688524590164,34.68852459016394,26.852459016393443,16.16393442622951,7.278688524590164,8.721311475409836,9.37704918032787,8.524590163934427
76,300,50,96.91803278688525,12.89633903405941,1.2131147540983607,0.39344262295081966,0.8524590163934426,0.8852459016393442,1.180327868852459,2.9508196721311477,9.311475409836065,8.524590163934427,6.426229508196721,2.6885245901639343,1.5081967213114753,0.5901639344262295,0.4918032786885246,4.262295081967213,3.737704918032787,9.540983606557377,12.885245901639344,9.737704918032787,5.377049180327869,5.704918032786885,1.540983606557377,2.1639344262295084,2.5901639344262297,2.360655737704918
77,2180,50,608.360655737705,14.372464430211732,5.540983606557377,6.426229508196721,6.557377049180328,5.114754098360656,7.672131147540983,25.770491803278688,55.9344262295082,45.442622950819676,39.049180327868854,20.688524590163933,10.39344262295082,7.344262295081967,6.327868852459017,20.524590163934427,33.08196721311475,57.278688524590166,72.62295081967213,55.278688524590166,34.78688524590164,30.81967213114754,13.344262295081966,17.40983606557377,15.180327868852459,15.770491803278688
78,2200,50,611.5081967213115,14.414253492824416,5.540983606557377,6.426229508196721,6.557377049180328,5.114754098360656,7.672131147540983,26.098360655737704,56.131147540983605,45.63934426229508,39.01639344262295,20.688524590163933,10.39344262295082,7.344262295081967,6.327868852459017,21.18032786885246,33.50819672131148,57.34426229508197,73.57377049180327,55.114754098360656,35.34426229508197,30.81967213114754,13.311475409836065,17.40983606557377,15.180327868852459,15.770491803278688
79,2040,50,575.3770491803278,14.437281604284095,5.540983606557377,6.39344262295082,6.524590163934426,5.114754098360656,7.016393442622951,25.18032786885246,52.91803278688525,43.21311475409836,36.85245901639344,19.18032786885246,9.80327868852459,6.622950819672131,6.0,19.934426229508198,32.59016393442623,52.39344262295082,68.32786885245902,53.049180327868854,32.65573770491803,29.18032786885246,11.868852459016393,16.098360655737704,14.065573770491802,14.852459016393443
80,1130,50,343.73770491803276,14.364988518872098,3.8360655737704916,5.049180327868853,3.2131147540983607,3.0491803278688523,3.6721311475409837,13.01639344262295,33.24590163934426,25.770491803278688,21.770491803278688,12.0,4.491803278688525,1.7049180327868851,3.2459016393442623,8.557377049180328,16.295081967213115,38.49180327868852,40.98360655737705,32.42622950819672,25.901639344262296,14.819672131147541,6.983606557377049,8.459016393442623,8.229508196721312,8.524590163934427
81,1380,50,408.6885245901639,14.290529580802176,4.327868852459017,5.311475409836065,3.8688524590163933,3.737704918032787,4.819672131147541,16.16393442622951,39.63934426229508,29.770491803278688,26.65573770491803,14.39344262295082,6.819672131147541,2.1639344262295084,3.8360655737704916,12.557377049180328,21.24590163934426,41.63934426229508,45.049180327868854,39.80327868852459,28.885245901639344,20.0327868852459,7.868852459016393,10.098360655737705,9.639344262295081,10.360655737704919
82,700,50,219.24590163934425,13.805290810036176,1.5737704918032787,1.4426229508196722,2.5901639344262297,2.0327868852459017,2.8852459016393444,8.360655737704919,22.524590163934427,18.0,15.40983606557377,7.442622950819672,2.459016393442623,1.4754098360655739,1.2131147540983607,6.163934426229508,8.721311475409836,25.21311475409836,28.688524590163933,18.918032786885245,14.721311475409836,9.80327868852459,3.1147540983606556,5.868852459016393,5.60655737704918,5.016393442622951
83,3020,50,778.7213114754098,14.4706204866544,8.295081967213115,10.98360655737705,7.868852459016393,6.524590163934426,9.508196721311476,34.885245901639344,69.9672131147541,58.622950819672134,44.68852459016394,26.885245901639344,13.081967213114755,10.524590163934427,11.245901639344263,30.75409836065574,42.295081967213115,75.37704918032787,86.62295081967213,64.91803278688525,46.42622950819672,37.67213114754098,19.475409836065573,21.016393442622952,21.18032786885246,19.901639344262296
84,560,50,176.327868852459,13.574012469729091,1.5737704918032787,0.6229508196721312,2.4262295081967213,1.4098360655737705,2.360655737704918,7.278688524590164,17.737704918032787,14.131147540983607,13.508196721311476,5.901639344262295,1.7377049180327868,1.2131147540983607,1.2131147540983607,5.672131147540983,7.180327868852459,19.9672131147541,23.737704918032787,15.80327868852459,9.934426229508198,7.868852459016393,2.459016393442623,3.6065573770491803,4.786885245901639,4.19672131147541
85,840,50,261.672131147541,13.957347868019577,2.262295081967213,2.4262295081967213,2.721311475409836,2.1639344262295084,3.540983606557377,9.049180327868852,25.34426229508197,20.065573770491802,17.540983606557376,8.852459016393443,2.459016393442623,1.6721311475409837,2.2295081967213113,7.80327868852459,12.19672131147541,30.59016393442623,34.459016393442624,23.737704918032787,17.57377049180328,10.950819672131148,4.0,6.524590163934426,6.622950819672131,6.885245901639344
86,3030,50,780.7213114754098,14.516019536338396,8.39344262295082,10.98360655737705,7.868852459016393,6.524590163934426,9.508196721311476,34.885245901639344,70.36065573770492,59.57377049180328,44.26229508196721,26.983606557377048,13.049180327868852,10.524590163934427,11.245901639344263,30.75409836065574,42.295081967213115,75.54098360655738,86.78688524590164,64.91803278688525,46.68852459016394,38.0,19.475409836065573,21.016393442622952,21.18032786885246,19.901639344262296
87,1180,50,356.59016393442624,14.434159124912412,3.8688524590163933,5.049180327868853,3.2131147540983607,3.0491803278688523,3.7049180327868854,13.704918032786885,36.19672131147541,25.540983606557376,23.60655737704918,13.081967213114755,4.557377049180328,1.7049180327868851,3.2459016393442623,8.688524590163935,17.114754098360656,39.049180327868854,42.16393442622951,34.131147540983605,26.62295081967213,15.475409836065573,7.147540983606557,8.459016393442623,8.688524590163935,8.524590163934427
88,980,50,299.0163934426229,14.163249359241256,3.6721311475409837,3.3114754098360657,3.0491803278688523,2.459016393442623,3.540983606557377,11.967213114754099,27.540983606557376,22.098360655737704,19.475409836065573,10.655737704918034,3.3114754098360657,1.7049180327868851,2.8524590163934427,8.131147540983607,14.0,34.950819672131146,36.295081967213115,27.770491803278688,21.34426229508197,12.655737704918034,5.639344262295082,8.131147540983607,7.114754098360656,7.344262295081967
89,1370,50,407.08196721311475,14.317853313254787,4.327868852459017,5.311475409836065,3.8688524590163933,3.737704918032787,4.819672131147541,16.16393442622951,39.63934426229508,29.540983606557376,26.59016393442623,14.065573770491802,6.819672131147541,2.1639344262295084,3.8360655737704916,12.229508196721312,21.21311475409836,41.67213114754098,44.85245901639344,39.60655737704918,28.852459016393443,19.83606557377049,7.868852459016393,10.098360655737705,9.639344262295081,10.327868852459016
90,1120,50,341.7049180327869,14.44165284720194,3.8360655737704916,5.049180327868853,3.2131147540983607,3.0491803278688523,3.6721311475409837,13.01639344262295,32.98360655737705,25.21311475409836,21.770491803278688,11.639344262295081,4.491803278688525,1.7049180327868851,3.2459016393442623,8.557377049180328,16.262295081967213,38.26229508196721,40.59016393442623,32.22950819672131,25.901639344262296,14.819672131147541,6.983606557377049,8.426229508196721,8.262295081967213,8.524590163934427
91,480,50,152.95081967213116,13.448840775646214,1.5737704918032787,0.6229508196721312,2.4262295081967213,1.4098360655737705,2.360655737704918,5.737704918032787,15.967213114754099,12.131147540983607,10.59016393442623,3.737704918032787,1.6721311475409837,1.2131147540983607,1.2131147540983607,4.786885245901639,5.311475409836065,15.40983606557377,21.540983606557376,16.131147540983605,8.262295081967213,7.114754098360656,2.360655737704918,3.639344262295082,3.737704918032787,4.0
92,2270,50,627.9016393442623,14.44433743673176,5.704918032786885,7.409836065573771,6.590163934426229,5.80327868852459,7.80327868852459,27.40983606557377,56.16393442622951,46.52459016393443,40.49180327868852,21.901639344262296,10.655737704918034,7.704918032786885,6.983606557377049,21.83606557377049,34.49180327868852,58.721311475409834,76.49180327868852,55.442622950819676,35.377049180327866,31.80327868852459,13.901639344262295,17.40983606557377,15.311475409836065,15.967213114754099
93,1470,50,430.91803278688525,14.206828794068874,4.655737704918033,5.934426229508197,4.163934426229508,3.9672131147540983,5.475409836065574,16.950819672131146,40.885245901639344,32.59016393442623,27.80327868852459,15.40983606557377,7.573770491803279,2.5245901639344264,4.262295081967213,13.442622950819672,23.672131147540984,42.032786885245905,47.31147540983606,42.557377049180324,28.75409836065574,21.868852459016395,8.098360655737705,10.557377049180328,9.639344262295081,10.78688524590164
